label,tree_x,tree_y,tree_z,grid_x,grid_y,grid_z,height
73340640,653015.638184,238339.267029,111.411003113,653015.287,238338.726,124.494,13.082996886999993
75479826,653015.428223,238331.692993,111.333000183,653015.602,238331.513,125.175,13.841999817000001
71979372,653007.937988,238329.879028,112.31199646,653008.486,238330.277,129.957,17.64500353999999
62272193,653000.181152,238319.596985,111.837997437,652999.859,238320.064,126.908,15.070002563000003
61270058,652993.731934,238316.546021,111.883003235,652993.949,238316.597,129.998,18.114996764999987
60464481,652987.498047,238320.075989,111.500999451,652988.027,238320.344,128.423,16.922000549000003
60176515,652984.844238,238314.93103,111.685997009,652984.857,238314.857,127.151,15.465002990999992
58427838,652980.880859,238320.026001,111.649002075,652980.897,238320.119,127.148,15.498997924999998
58159786,652976.827148,238313.789978,111.70300293,652976.835,238313.79,127.739,16.035997070000008
69553419,652979.269043,238344.731018,111.38999939,652979.701,238345.464,127.275,15.885000610000006
68747815,652992.85498,238348.038025,111.183998108,652992.561,238348.263,120.98,9.796001892000007
69015265,653003.479004,238349.219971,111.402999878,653003.322,238349.124,121.618,10.215000121999992
38722962,652956.78418,238336.551025,111.135002136,652956.619,238336.577,124.77,13.634997863999999
14148957,652879.963867,238282.554016,111.199996948,652879.887,238282.564,125.17,13.970003051999996
71837496,653007.891113,238330.343994,112.095001221,653008.483,238330.293,129.965,17.869998779
